#This file originally appeared at:
#https://github.com/bibhuticoder/dummydata/blob/master/data.csv

Firstname, Lastname, Gender, Age, Email, phone, Address, District
KAPIL,  TAMANG,  M,23,  kapil241@hotmail.com,9846205043, Boniya, Kailali
KSHITIZ,  SUBEDI,  M,60,  subedikshitiz@gmail.com,9812849480, Buniyad, Bara
RAJESH,  POKHREL,  M,18,  rajeshpokhrel@gmail.com,9813129406, Thakudwara, Bardiya
SHASHWAT,  SHARMA,  M,52,  shashwat453@gmail.com,9856756293, Naubise, Dhading
SURYA,  SHRESTHA,  M,47,  suryashrestha@yahoo.com,9857443630, Khanchikot, Arghakhanchi
SUMIT,  PANDEY,  M,32,  sumitpan@gmail.com,9857980017, Baksila, Khotang
MANISH,  PATHAK,  M,41,  manishpat@live.com,9811137136, Golaganj, Bara
NABIN,  BHATTARAI,  M,37,  nabinbhattarai@hotmail.com,9844505858, Barhabise, Bajura
ANUP,  PRAJAPATI,  M,34,  anuppraj@hotmail.com,9849073509, Namsaling, Ilam
NARESH,  KHATIWADA,  M,58,  naresh490@live.com,9811282373, Kotbhairab, Bajhang
SUJAN,  MAINALI,  M,38,  sujanmai@yahoo.com,9813325377, Chhinchu, Surkhet
LOK,  MISHRA,  M,41,  lokmishra@gmail.com,9810868403, Tribhuwannagar, Sarlahi
AJAY,  SILWAL,  M,45,  ajaysilwal@hotmail.com,9851811144, Kunchha, Lamjung
BIBEK,  PANT,  M,51,  bibekpa@hotmail.com,9854582622, Gangapipara, Rautahat
ARJUN,  BHATT,  M,43,  bhattarjun@hotmail.com,9811698845, Ayodhyanagar, Siraha
AYUSH,  SHAKYA,  M,27,  shakyaayush@rocketmail.com,9853425048, Chhorambu, Khotang
AAKAR,  GURUNG,  M,15,  gurungaakar@hotmail.com,9813023922, Bastipur, Sindhuli
SISHIR,  PAUDEL,  M,57,  sishirpaudel@live.com,9810940806, Bihi, Gorkha
GAURAV,  BHAT,  M,31,  gauravbhat@hotmail.com,9810272347, Saraswotinagar, Doti
RUPESH,  SHARMA,  M,27,  rupesh791@yahoo.com,9851552258, Patarasi, Jumla
SABIN,  KUNWAR,  M,59,  sabinkunwar@hotmail.com,9856524233, Ringneraha, Palpa
SURAJ,  SHRESTHA,  M,53,  suraj551@live.com,9814945281, Malhaniyakhori, Siraha
SALEEN,  SHRESTHA,  M,18,  saleenshre@rocketmail.com,9846286804, Khaumale, Mugu
AAKASH,  NEPAL,  M,58,  aakashnepal@gmail.com,9810089115, Jagatpur, Saptari
ANKIT,  BHATTARAI,  M,37,  ankitbhat@hotmail.com,9812737560, Hat, Baitadi
BIKASH,  CHAUDHARY,  M,25,  bikashchaudhary@hotmail.com,9851235900, Tandi, Morang
GULSHAN,  MAHARJAN,  M,32,  gulshan510@rocketmail.com,9855078836, Palapu, Okhaldhunga
SHISHIR,  JOSHI,  M,24,  shishirjoshi@hotmail.com,9810897733, Prempurgunahi, Rautahat
SUNIL,  NEUPANE,  M,42,  neupanesunil@gmail.com,9851271761, Rajghat, Sarlahi
AASTHA,  KHADKA,  F,58,  aastha992@live.com,9858648530, Parche, Kaski
UJJWAL,  SHRESTHA,  M,39,  ujjwal573@gmail.com,9841735338, Bhangaha, Saptari
SANTOSH,  SHRESTHA,  M,46,  santoshshre@yahoo.com,9812965752, Khangsang, Sindhuli
DINESH,  ACHARYA,  M,36,  dinesh536@gmail.com,9810279167, Malikabota, Jumla
SAUGAT,  POUDEL,  M,15,  saugat76@live.com,9813493478, Malika, Dailekh
PRAJJWAL,  DANUWAR,  M,49,  danuwarprajjwal@yahoo.com,9813116124, Batakachaur, Baglung
DIPESH,  AKHTAR,  M,22,  akhtardipesh@gmail.com,9811768575, Basamadi, Makwanpur
NIPESH,  MAHARJAN,  M,32,  nipeshmaha@live.com,9853588475, Kalikatar, Makwanpur
MANOJ,  LAMICHHANE,  M,59,  manojlamic@yahoo.com,9813595445, Serna, Okhaldhunga
SANJAY,  BUDHATHOKI,  M,56,  sanjaybudha@hotmail.com,9857764822, Chyasmitar, Khotang
UMESH,  UPADHYAYA,  M,27,  umeshupadhyaya@hotmail.com,9811128108, Ratanchamajhagau, Khotang
SUYOG,  NEUPANE,  M,56,  suyogneu@gmail.com,9840934155, Lalapati, Saptari
SUDIP,  PAUDYAL,  M,24,  sudippaudyal@gmail.com,9846663122, Pakhapani, Parbat
LAXMAN,  BHATTARAI,  M,45,  bhattarailaxman@yahoo.com,9812488717, Daman, Makwanpur
AMIT,  DHAKAL,  M,23,  amitdha@hotmail.com,9858843709, Dhankauli, Kapilbastu
PRADIP,  KALOUNI,  M,53,  kalounipradip@hotmail.com,9810070447, Jubu, Solukhumbu
PRAKASH,  KARKI,  M,60,  karkiprakash@live.com,9812518509, Hadiya, Udayapur
AMRIT,  SHARMA,  M,32,  amritsharma@rocketmail.com,9852266670, Dandafaya, Humla
SAMEER,  THAPACHHETRI,  M,30,  thapachhetrisameer@gmail.com,9811004413, Gamhariya, Sarlahi
SUJIT,  BHANDARI,  M,17,  sujit619@hotmail.com,9842696472, Taratal, Bardiya
DIPENDRA,  BHUSAL,  M,39,  dipendra817@live.com,9857862495, Badagaun, Gulmi
NIRMAL,  CHAULAGAIN,  M,31,  nirmalchaul@hotmail.com,9854899178, Dumkibas, Nawalparasi
DURGA,  SHRESTHA,  M,18,  durgashrestha@rocketmail.com,9813507414, Iname, Udayapur
PRATIBHA,  BISTA,  F,55,  pratibhabi@hotmail.com,9813551200, Sahasaula, Mahottari
MIDHAN,  MANANDHAR,  M,56,  manandharmidhan@gmail.com,9814109690, Tingla, Solukhumbu
SEROX,  JHA,  M,54,  seroxjha@hotmail.com,9812075107, Payal, Achham
OM,  RIJAL,  M,33,  om719@live.com,9813609613, Kabahigoth, Bara
KAMAL,  PANDEY,  M,54,  kamalpan@gmail.com,9853506826, Katahari, Morang
ABIRAL,  PAUDEL,  M,57,  abiralpaudel@gmail.com,9811536425, Banainiya, Saptari
PRABHAB,  BASNET,  M,32,  prabhabbas@live.com,9813920026, Alamadevi, Syangja
KARTIKESH,  MAHAT,  M,48,  kartikesh942@live.com,9812298073, Whama, Rolpa
ANUJ,  KAFLE,  M,45,  anujka@yahoo.com,9856238118, Dhurkot, Nawalparasi
SANJIV,  PAUDEL,  M,49,  sanjivpaudel@live.com,9847174543, Kushadevi, Kavre
BIKRAM,  BARAL,  M,42,  bikrambaral@gmail.com,9854377757, Betan, Surkhet
NEERAJ,  PANDEY,  M,44,  pandeyneeraj@live.com,9811847137, Manmaiju, Kathmandu
SAUJANYA,  SHRESTHA,  M,18,  saujanya635@hotmail.com,9813751087, Jahada, Nawalparasi
AAYUSH,  ALE,  M,58,  aleaayush@yahoo.com,9846760295, Kerunga, Arghakhanchi
PRAYAS,  AWASTHI,  M,40,  prayasawa@hotmail.com,9812906426, Muna, Myagdi
BINIT,  UPRETI,  M,34,  binitupreti@live.com,9814188898, Yangshila, Morang
SATISH,  BANIYA,  M,35,  baniyasatish@rocketmail.com,9846150745, Deulek, Baitadi
SITAL,  SHRESTHA,  M,22,  shresthasital@gmail.com,9857523903, Okharpauwa, Nuwakot
NISHEDH,  SAH,  M,26,  nishedhs@live.com,9843166141, Huwas, Parbat
RAJU,  DHAKAL,  M,50,  rajudha@yahoo.com,9812523563, Manakamana, Nuwakot
SURESH,  SIJAKHWO,  M,40,  sureshsija@rocketmail.com,9810169112, Diktel, Khotang
BIMAL,  KHATIWADA,  M,53,  bimalkhat@hotmail.com,9811989810, Bisarbhora, Dhanusa
BINOD,  TIBREWALA,  M,25,  tibrewalabinod@live.com,9855173813, Sangla, Kathmandu
SANDESH,  KOIRALA,  M,42,  sandeshkoi@live.com,9854556063, Pachhawang, Rolpa
RUPAK,  BHATTARAI,  M,17,  rupakbhat@live.com,9840270545, Haripurwa, Sarlahi
SANJEEV,  THAKUR,  M,36,  thakursanjeev@rocketmail.com,9813602719, Kante, Darchaula
ADHIP,  SHRESTHA,  M,40,  adhipshrestha@rocketmail.com,9847174749, Hiletaksar, Lamjung
EKARAJ,  THAKUR,  M,39,  ekarajtha@gmail.com,9814019417, Manaharwa, Bara
GANESH,  KAFLE,  M,51,  kafleganesh@gmail.com,9849607582, Tankhuwa, Dhankuta
PRANESH,  DHAKAL,  M,39,  praneshdha@live.com,9814838650, Trikola, Saptari
LILA,  DEVKOTA,  M,59,  devkotalila@rocketmail.com,9813403561, Bishnupurkatti, Siraha
ANISH,  YADAV,  M,53,  anish392@gmail.com,9854652769, Chinnebas, Syangja
NITESH,  CHAUDHARY,  M,49,  niteshchaudhary@gmail.com,9814201563, Birendranagar Municipality, Surkhet
SAROJ,  SHRESTHA,  M,19,  shresthasaroj@rocketmail.com,9814797337, Sakhuawa, Rautahat
SOBIT,  BASHYAL,  M,40,  bashyalsobit@live.com,9858131369, Paink, Jajarkot
SAJEET,  BHATTA,  M,30,  sajeet600@yahoo.com,9840338468, Betan, Surkhet
ASHISH,  ROILA,  M,24,  ashishro@rocketmail.com,9811862424, Alampu, Dolakha
RAJ,  ADHIKARI,  M,58,  rajadhikari@hotmail.com,9811613098, Kharpa, Khotang
PARASHMANI,  LAMSAL,  M,50,  parashmanilam@hotmail.com,9849965888, Sanischare, Morang
JAGADISH,  THAKUR,  M,59,  jagadishtha@hotmail.com,9846621907, Mahakali, Nuwakot
ALISHA,  PAUDEL,  F,33,  paudelalisha@live.com,9859929374, Hardiya, Bara
SAGAR,  SAPKOTA,  M,58,  sapkotasagar@live.com,9813159770, Pagretar, Sindhupalchok
KAISHAR,  YADAV,  M,24,  yadavkaishar@yahoo.com,9849359443, Warpak, Gorkha
DIWAKAR,  TIWARI,  M,24,  diwakartiw@hotmail.com,9858041031, Birat, Jumla
PRABHAT,  GADTAULA,  M,22,  gadtaulaprabhat@live.com,9852169960, Harrachaur, Gulmi
BIRAT,  NATH,  M,33,  birat937@rocketmail.com,9811389343, Babala, Achham
RONIT,  KHANAL,  M,24,  ronitkhanal@live.com,9843248179, Haklang, Palpa
DENISH,  DHAKAL,  M,15,  dhakaldenish@yahoo.com,9850867200, Farseth, Saptari
AAKRITI,  BILASH,  F,45,  aakriti738@gmail.com,9844856417, Thinglabu, Taplejung
AJEYA,  NARAYAN,  M,44,  ajeyanarayan@yahoo.com,9844944910, Kamalamai Municipality, Sindhuli
JAMUNA,  NEUPANE,  F,53,  neupanejamuna@hotmail.com,9851026410, Pathibhara, Sankhuwasabha
SANIJ,  YADAV,  M,27,  sanijya@gmail.com,9856679766, Agryouli, Nawalparasi
SANDEEP,  DAHAL,  M,24,  sandeepdahal@yahoo.com,9854123536, Kunchha, Lamjung
ADITYA,  THAPA,  M,17,  aditya97@rocketmail.com,9813378899, Lipanimal, Bara
DIWAS,  DANGI,  M,29,  diwasdangi@hotmail.com,9814893660, Gajuri, Dhading
CHANDRA,  SHAH,  F,54,  chandrash@gmail.com,9855368338, Singiya, Sunsari
NISHAN,  BHATTARAI,  M,28,  nishanbhattarai@live.com,9846622086, Basamadi, Makwanpur
SUDAN,  YADAV,  M,15,  sudan358@yahoo.com,9813873733, Phukot, Kalikot
NIKASH,  SAUD,  M,48,  nikash946@rocketmail.com,9814164710, Ramnagarmirchaiya, Siraha
UDDHAV,  KHADKA,  M,44,  khadkauddhav@gmail.com,9810000563, Setidobhan, Syangja
GAMBHIR,  THAPA,  M,47,  gambhirth@rocketmail.com,9811549611, Gonaha, Rupandehi
BIKESH,  MALLA,  M,58,  bikeshma@hotmail.com,9813246877, Madhupati, Saptari
SANJIB,  KOIRALA,  M,41,  sanjibkoirala@live.com,9812852155, Arunodaya, Tanahu
PIYUSH,  ADHIKARI,  M,59,  piyushadhikari@live.com,9859263648, Mahadevsthan, Dhading
KIRAN,  MAHARJAN,  M,32,  kiranmaha@gmail.com,9810867765, Dirbung, Gulmi
SABAL,  SUBEDI,  M,50,  sabalsub@yahoo.com,9845652261, Choutara, Sindhupalchok
PUJA,  LAMICHHANE,  F,31,  lamichhanepuja@rocketmail.com,9851194115, Baglung Municipality, Baglung
SAURAV,  KHADKA,  M,40,  khadkasaurav@live.com,9810012202, Ramnagar, Nawalparasi
RAJENDRA,  PANDIT,  M,26,  rajendra404@yahoo.com,9812176353, Naglebhare, Kathmandu
ASHOK,  PAHARI,  M,23,  pahariashok@live.com,9812703110, Singyahimaidan, Dhanusa
DHRUBA,  NEUPANE,  M,23,  dhrubaneu@gmail.com,9842702896, Dhikarim/Rim, Baitadi
ALINA,  TIWARI,  F,21,  alina115@gmail.com,9842417650, Itarhawa, Siraha
AASHUTOSH,  PARAJULI,  M,27,  parajuliaashutosh@live.com,9814419262, Shantipur, Dhanusa
ASHIM,  BASNET,  M,27,  ashimbas@live.com,9851392586, Malikabota, Jumla
RESA,  SHRESTHA,  F,24,  shrestharesa@gmail.com,9810850730, Shivalaya, Parbat
BINAY,  UPRETY,  M,50,  binay732@rocketmail.com,9814911545, Sundrawati, Dolakha
RABIN,  THAKURI,  M,45,  thakurirabin@hotmail.com,9847852715, Dandagoun, Rasuwa
ANIL,  PANDEY,  M,50,  anilpan@rocketmail.com,9810052454, Ghetma, Rukum
DEEPENDRA,  KATUWAL,  M,54,  deependrakatuwal@yahoo.com,9813367989, Kalyanpurjabadi, Siraha
PRADEEP,  SUBEDI,  M,43,  pradeepsubedi@yahoo.com,9852025078, Maisthan, Mahottari
PRABIN,  SUNAR,  M,27,  prabinsunar@rocketmail.com,9813748812, Tusara, Pyuthan
SUBARNA,  POKHREL,  M,54,  subarnapok@rocketmail.com,9854927082, Dubiya, Kapilbastu
NARAYAN,  SHARMA,  M,39,  narayansha@live.com,9842431819, Udayapurdhurmi, Parsa
PRAMESH,  MAINALI,  M,54,  prameshmainali@yahoo.com,9811630949, Ghuskun, Sindhupalchok
ABHINAV,  GIRI,  M,57,  abhinavgiri@gmail.com,9845271890, Chyangthapu, Panchthar
BIPIN,  ACHARYA,  M,55,  bipin984@hotmail.com,9844173697, Ratnanagar Municipality, Chitawan
UJWAL,  PANT,  M,48,  ujwalpa@live.com,9811554052, Majhthana, Kaski
NADEEM,  NEPALI,  M,23,  nadeemnepali@yahoo.com,9849059437, Malhaniya, Saptari
MANAS,  MALLA,  M,19,  manasma@yahoo.com,9849144752, Kathar, Chitawan
UTTAM,  PAUDEL,  M,31,  uttam588@hotmail.com,9810242769, Lalikanda, Dailekh
MILAN,  KHATIWADA,  M,26,  milan483@live.com,9859791509, Dhuwang, Pyuthan
ROSHAN,  RAI,  M,18,  roshanr@gmail.com,9858672828, Ghansikuwa, Tanahu
YASHASVI,  RAYAMAJHI,  M,57,  yashasvirayamajhi@yahoo.com,9812506200, Dhirapur, Mahottari
RAGHAV,  PODDAR,  M,53,  raghav53@live.com,9814214642, Dhullugaidi, Baglung
SHIVA,  SHRESTHA,  M,29,  shresthashiva@rocketmail.com,9811570985, Badalkot, Kalikot
KHEM,  POUDEL,  M,15,  poudelkhem@rocketmail.com,9813831733, Begashivapur, Dhanusa
NIRANJAN,  ADHIKARI,  M,20,  niranjanadhikari@rocketmail.com,9814835652, Nisi, Baglung
PRIYANKA,  BHANDARI,  F,33,  priyanka73@rocketmail.com,9848908812, Shivarath, Salyan
RAMESH,  PODDAR,  M,32,  ramesh729@hotmail.com,9810262026, Indranipokhari, Khotang
SUVRAT,  SHRESTHA,  M,42,  suvratshrestha@rocketmail.com,9855368374, Pratappurpaltuwa, Rautahat
SUSHANT,  YADAV,  M,19,  yadavsushant@hotmail.com,9811759515, Baijinath, Achham
MANJISH,  KARKI,  M,28,  manjishkarki@yahoo.com,9811960019, Piprarajbara, Rautahat
HARI,  NEPAL,  M,20,  harinepal@gmail.com,9812990460, Chhetrapa, Dolakha
DUMAN,  SHRESTHA,  M,22,  duman248@yahoo.com,9814998332, Munuwa, Kailali
NIRPESH,  GIRI,  M,56,  nirpeshgiri@rocketmail.com,9859496786, Myanglung, Terhathum
NAMAN,  PANDEY,  M,50,  namanpandey@rocketmail.com,9814044615, Khudabagar, Rupandehi
BIWAS,  ADHIKARI,  M,49,  adhikaribiwas@hotmail.com,9853742933, Sarmali, Baitadi
BHAGWAT,  ADHIKARI,  M,52,  bhagwat335@gmail.com,9855193191, Janalibandali, Achham
BISHWAS,  THAPA,  M,57,  thapabishwas@hotmail.com,9852033871, Daulatpur, Saptari
